payable|adj.应付的，可支付的；
notable|adj.值得注意的，显著的；n.名人，要人；
fable|n.寓言；
dame|n.夫人，女士；
lime|n.酸橙，石灰；
levee|n.堤坝，防洪堤；
revenge|n.复仇，报仇；vt.为...报仇；
relieve|vt.减轻，缓解，接替，换班；
oblige|vt.迫使，责成，施恩于，帮忙；
opening|n.开口，洞，开端，机会，开场的；
foremost|adj.最重要的，首要的；adv.首先；
workload|n.工作量，工作负担；
withhold|vt.保留，隐瞒，扣留，扣缴；
fatherland|n.祖国；
hinterland|n.内陆，腹地；
waterfall|n.瀑布；
watertight|adj.防水的，不漏水的，无懈可击的；
reassessment|n.重新评估，重新评价；
reassess|vt.重新评估，重新评价；
sweatshop|n.血汗工厂；
statistician|n.统计学家；
prehistoric|adj.史前的；
physiology|n.生理学；
mischievous|adj.淘气的，恶作剧的，有害的；
hemisphere|n.半球；
hairdresser|n.理发师，美发师；
exporter|n.出口商，出口国；
doorstep|n.门阶；
coordinate|v.协调，配合；n.坐标；adj.同等的；
colleague|n.同事，同僚；
football|n.足球，足球运动；
removal|n.移除，除去，免职；
coward|n.胆小鬼，懦夫；
acquire|vt.获得，取得，学到；
exclude|vt.排除，不包括，排斥；
expand|v.扩大，扩展，膨胀；
rigid|adj.僵硬的，严格的，固守的，顽固的；
weigh|v.称重，权衡，有分量，具有重要性；
snug|adj.温暖舒适的，紧密贴合的；
knuckle|n.指关节；
earache|n.耳痛；
enrich|vt.使丰富，使肥沃；
lavish|adj.奢侈的，豪华的；vt.慷慨给予，挥霍；
baptism|n.洗礼；
option|n.选择，选项，期权；
coalition|n.联盟，同盟；
insulation|n.绝缘，隔热，隔离，隔绝；
inclusion|n.包含，包括；
excursion|n.短途旅行，远足；
Persian|adj.波斯的，波斯人的；n.波斯人，波斯语；
session|n.会议，会期，一段时间；
beacon|n.灯塔，信标，指路明灯；
backbone|n.脊梁，脊柱，骨干，支柱；
acronym|n.首字母缩略词；
gerund|n.动名词；
herald|n.信使，先驱，预示，宣告；
dental|adj.牙齿的，牙科的；
entrant|n.进入者，新成员，参赛者；
restrain|vt.抑制，遏制，约束，限制；
stress|n.压力，紧张，强调，重点；vt.强调；
marrow|n.骨髓，精华；
virtue|n.美德，优点，功效，效力；
bitter|adj.苦的，痛苦的，怨恨的；n.苦啤酒；
spanner|n.扳手；
glance|v.瞥见，扫视，一瞥；
glamor|n.魅力，魔力；
closet|n.壁橱，衣柜，秘密的，不公开的；
course|n.课程，过程，进程，一道菜；v.追逐，流动；
comprise|vt.包含，由...组成，构成；
paradise|n.天堂，乐园；
separatist|n.分离主义者；adj.分离主义的；
preparatory|adj.准备的，预备的；
preposition|n.介词；
preoccupation|n.全神贯注，入神，使人全神贯注的事物；
occasion|n.场合，时机，原因，理由；
casino|n.赌场；
vanity|n.虚荣心，空虚，无用；
audacity|n.大胆，无畏，厚颜无耻；
adapt|v.适应；vt.改编，修改；
apt|adj.恰当的，适当的，易于...的，有...倾向的；
stack|n.堆，叠，书架，堆栈；v.堆积，堆放；
stool|n.凳子，粪便；
coil|n.线圈，圈；v.盘绕，卷；
triple|adj.三倍的，三重的，三倍数；v.使成三倍；
grieve|v.悲伤，哀悼，使悲伤；
derive|v.源于，来自，获得，推导；
demise|n.死亡，终止，转让；
decode|vt.解码，破译；
decent|adj.体面的，得体的，正派的；
indirect|adj.间接的，迂回的；
innocent|adj.无辜的，清白的，天真的，单纯的；
congruent|adj.一致的，相符的，全等的；
influential|adj.有影响力的，有势力的；
introductory|adj.介绍的，入门的；
immeasurable|adj.不可估量的，无限的；
